name,review_status,category,subcategory,primary_stage,workflow_stages,summary_zh,summary_en
agent-alpha-portfolio-guardian,approved,09,09.monitor-risk-agent,reporting,data-ingestion|modeling|monitoring|reporting,多因子组合健康度守卫：健康度矩阵 + 拥挤警示 + 退休/重构候选 + IC 衰减曲线，含守卫规则有效性回测 L4。,"Multi-factor portfolio health guardian producing a health matrix, crowding alerts, retire/rebuild candidates, IC decay curves, and a research-only effectiveness backtest L4 page."
agent-corporate-governance-scanner,approved,09,09.monitor-risk-agent,reporting,data-ingestion|modeling|monitoring|reporting,公司治理综合评分 Agent，9维度治理风险打分+证据链,Corporate governance scoring agent with 9-dimension risk scoring and evidence chains
agent-correlation-break-research,approved,09,09.research-agent,monitoring,data-ingestion|modeling|monitoring|reporting,用 Pandadata 多资产收益相关性变化识别风格切换、分散化压力与结构性行情。,"Uses Pandadata price-series correlation changes to identify style shifts, diversification stress, and structural market moves."
agent-crowding-risk-monitor,approved,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用 Pandadata 价格、成交、融资和龙虎榜热度识别抱团、过热、踩踏与去杠杆风险。,"Monitors crowded-trade risk from Pandadata price, turnover, margin, and Dragon-Tiger heat evidence."
agent-derivatives-skew-sentiment-monitor,approved,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用期权隐含波动率和标的历史波动率观察衍生品市场风险偏好。,Monitors derivatives sentiment from option implied volatility and underlying historical volatility.
agent-earnings-surprise-hunter,approved,09,09.monitor-risk-agent,reporting,data-ingestion|modeling|monitoring|reporting,财报季 Surprise/暴雷猎手 Agent。获取财报预告、一致预期、审计意见，计算偏离度并生成分析报告。支持A股/港股/美股。,财报季 Surprise/暴雷猎手 Agent。获取财报预告、一致预期、审计意见，计算偏离度并生成分析报告。支持A股/港股/美股。
agent-feng-reverse,approved,09,09.research-agent,reporting,data-ingestion|modeling|monitoring|reporting,"追踪微博""峰哥亡命天涯""的发言，提取股票/市场观点，生成反向操作信号。峰哥是A股知名反向指标，其公开观点具有稳定的反向参考价值。","Tracks Weibo user ""峰哥亡命天涯"" (Feng Ge), a well-known A-share reverse indicator. Extracts stock/market opinions from his posts and generates contrarian trading signals."
agent-for-liangshuyuan-tasks,approved,09,09.workflow-orchestration-agent,orchestration,orchestration,面向量枢院任务的多 Agent 协作框架，组织量化交易工具、构建流程与任务分工。,"Multi-agent collaboration framework for Liangshuyuan tasks, organizing quantitative tools, build workflows, and task roles."
agent-future-trading,approved,09,09.workflow-orchestration-agent,orchestration,data-ingestion|data-quality|modeling|portfolio-construction|backtesting|evaluation|risk|execution|reporting|orchestration,多智能体期货研究、策略生成、历史回测与研究反馈工作流,"Multi-agent futures research, strategy generation, backtesting, and research feedback workflow"
agent-intraday-rl-timing,approved,09,09.monitor-risk-agent,reporting,data-ingestion|modeling|monitoring|reporting,纯研究的日内强化学习实验台：分钟数据建 Gym 环境 + 基线策略(TWAP/动量/反转) + 防泄漏 walk-forward 训练评估，绝不实盘下单。,"Research-only RL lab for intraday timing on minute bars: Gym env, baseline policies, leakage-aware walk-forward train/eval. No live orders."
agent-macro-driven-rotation,approved,09,09.research-agent,modeling,data-ingestion|modeling|reporting,以改进美林时钟定相、景气 Nowcast 和估值过滤生成宏观驱动行业轮动研究材料。,"Generates macro-driven industry-rotation research materials from clock phases, nowcasts, and valuation filters."
agent-market-regime-monitor,approved,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用 Pandadata 行情、指数宽度、波动率和资金证据判断趋势、震荡、退潮或风险扩张状态。,"Monitors market regimes from Pandadata index breadth, volatility, and funding evidence."
agent-quantspace,approved,09,09.workflow-orchestration-agent,orchestration,data-ingestion|modeling|backtesting|reporting|orchestration,面向 AI 编码代理的量化研究框架，组织数据、技能、策略、回测和报告工作流。,"AI-native quantitative research framework for reusable skills, strategy workflows, backtests, and reports."
agent-ssquant,approved,09,09.execution-agent,execution,data-ingestion|modeling|backtesting|execution|reporting,SSQuant Agent 组织期货策略、数据服务、CTP 门禁检查和中文回测报告工作流。,"SSQuant Agent workflow for futures strategies, data services, CTP gates, and Chinese backtest reports."
