name,project_type,category,subcategory,primary_stage,workflow_stages,summary_zh,summary_en,interface_candidate,review_status,evidence
agent-correlation-break-research,agent,09,09.research-agent,monitoring,data-ingestion|modeling|monitoring|reporting,用 Pandadata 多资产收益相关性变化识别风格切换、分散化压力与结构性行情。,"Uses Pandadata price-series correlation changes to identify style shifts, diversification stress, and structural market moves.",hybrid,approved,AGENTS.md|README.md
agent-crowding-risk-monitor,agent,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用 Pandadata 价格、成交、融资和龙虎榜热度识别抱团、过热、踩踏与去杠杆风险。,"Monitors crowded-trade risk from Pandadata price, turnover, margin, and Dragon-Tiger heat evidence.",hybrid,approved,AGENTS.md|README.md
agent-derivatives-skew-sentiment-monitor,agent,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用期权隐含波动率和标的历史波动率观察衍生品市场风险偏好。,Monitors derivatives sentiment from option implied volatility and underlying historical volatility.,hybrid,approved,AGENTS.md|README.md
agent-for-liangshuyuan-tasks,agent,09,09.workflow-orchestration-agent,orchestration,orchestration,面向量枢院任务的多 Agent 协作框架，组织量化交易工具、构建流程与任务分工。,"Multi-agent collaboration framework for Liangshuyuan tasks, organizing quantitative tools, build workflows, and task roles.",hybrid,approved,AGENTS.md|README.md
agent-macro-driven-rotation,agent,09,09.research-agent,modeling,data-ingestion|modeling|reporting,以改进美林时钟定相、景气 Nowcast 和估值过滤生成宏观驱动行业轮动研究材料。,"Generates macro-driven industry-rotation research materials from clock phases, nowcasts, and valuation filters.",hybrid,approved,AGENTS.md|README.md
agent-market-regime-monitor,agent,09,09.monitor-risk-agent,monitoring,data-ingestion|monitoring|reporting,用 Pandadata 行情、指数宽度、波动率和资金证据判断趋势、震荡、退潮或风险扩张状态。,"Monitors market regimes from Pandadata index breadth, volatility, and funding evidence.",hybrid,approved,AGENTS.md|README.md
agent-quantspace,agent,09,09.workflow-orchestration-agent,orchestration,data-ingestion|modeling|backtesting|reporting|orchestration,面向 AI 编码代理的量化研究框架，组织数据、技能、策略、回测和报告工作流。,"AI-native quantitative research framework for reusable skills, strategy workflows, backtests, and reports.",hybrid,approved,AGENTS.md|README.md
agent-ssquant,agent,09,09.execution-agent,execution,data-ingestion|modeling|backtesting|execution|reporting,SSQuant Agent 组织期货策略、数据服务、CTP 门禁检查和中文回测报告工作流。,"SSQuant Agent workflow for futures strategies, data services, CTP gates, and Chinese backtest reports.",hybrid,approved,AGENTS.md|README.md
agent-template,agent,10,10.agent-template,orchestration,orchestration,用于创建可移植 QuantSkills 智能体项目的规范模板。,Canonical template for portable QuantSkills agent projects.,not-applicable,approved,AGENTS.md|README.md
skill-a-share-market-risk-radar,skill,04,04.automated-alerts,monitoring,data-ingestion|risk|monitoring|reporting,扫描 A 股宏观、资金、估值、趋势、行业轮动与个股事件并汇总风险等级。,"Scans A-share macro, funding, valuation, trend, sector-rotation, and event evidence into risk levels.",structured,approved,README.md|SKILL.md
skill-a-share-pit-fundamental-vintage-builder,skill,01,01.pit-data-quality,data-quality,data-ingestion|data-quality,按披露可见时点构建并审计 A 股财务数据，避免使用后续重述信息。,Builds and audits point-in-time A-share financial data without later restatements.,structured,approved,README.md|SKILL.md
skill-a-share-stock-dossier,skill,03,03.a-share-equity,reporting,data-ingestion|reporting,输入一个 A 股代码，汇总基本面、公司行动、股东行为、事件风险与资金面的可溯源尽调报告。,"Uses Pandadata to produce a sourced A-share dossier covering fundamentals, corporate actions, holders, event risks, and market funds.",hybrid,approved,README.md|SKILL.md
skill-a1-lhb-tracking,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,用龙虎榜席位历史表现和次日溢价生成事件驱动排序因子。,"Generates an event-ranking factor from Dragon-Tiger seat history, win rate, payoff, and next-session premium.",structured,approved,README.md|SKILL.md
skill-ag-futures-seasonality,skill,03,03.futures-commodity,modeling,data-ingestion|modeling|reporting,从农产品期货日线计算各月份历史季节性并叠加作物日历生成可视化报告。,Computes monthly agricultural-futures seasonality from daily prices and overlays crop-calendar context.,structured,approved,README.md|SKILL.md
skill-alpha-a06-hotmoney-reversal,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从龙虎榜席位与行情数据计算热钱席位冷却反转因子并提供验证与回测产物。,Computes a hot-money seat cooling and reversal factor from Dragon-Tiger and market data with validation artifacts.,structured,approved,README.md|SKILL.md
skill-alpha-f1-position-change,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货前 20 席位净持仓变化计算持仓突变因子并生成信号。,Computes a futures top-20-seat position-change factor and signal from net-position data.,structured,approved,README.md|SKILL.md
skill-alpha-f5-member-position-concentration,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从机构、游资与北向等席位净持仓计算成员持仓集中度信号。,"Computes member-position concentration signals from institutional, hot-money, and northbound net positions.",structured,approved,README.md|SKILL.md
skill-alpha-f6-family-position-reverse,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货家族席位持仓反转关系计算交易信号。,Computes a futures family-position reversal signal from seat-position relationships.,structured,approved,README.md|SKILL.md
skill-alpha-f8-family-main-divergence,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货家族席位与主力席位持仓背离计算因子信号。,Computes a futures family-versus-main-seat position-divergence factor signal.,structured,approved,README.md|SKILL.md
skill-alpha-ncav-graham,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,计算 Graham NCAV 净流动资产折价因子，面向排除金融股的 A 股深度价值筛选并生成信号。,Computes a Graham NCAV discount factor for A-share deep-value screening and buy-sell-hold signals.,structured,approved,README.md|SKILL.md
skill-audit-opinion-scanner,skill,04,04.regulatory-compliance,evaluation,data-ingestion|evaluation|risk|reporting,从审计意见、财务报表和行业对标评估 A 股财务健康并输出风险检查结果。,"Assesses A-share financial health from audit opinions, statements, and industry benchmarks with risk checks.",structured,approved,README.md|SKILL.md
